school_name,borough_x,building_code_x,average_math_x,average_reading_x,average_writing_x,percent_tested_x,borough_y,building_code_y,average_math_y,average_reading_y,average_writing_y,percent_tested_y
Gaynor McCown Expeditionary Learning School,Staten Island,R043,442,458,454,55.8,Staten Island,R043,442,458,454,55.8
George Washington Carver High School for the Sciences,Queens,Q420,439,428,419,63.5,Queens,Q420,439,428,419,63.5
George Westinghouse Career and Technical Education High School,Brooklyn,K580,394,422,400,45.3,Brooklyn,K580,394,422,400,45.3
Global Learning Collaborative,Manhattan,M470,406,407,413,59.4,Manhattan,M470,406,407,413,59.4
Gotham Professional Arts Academy,Brooklyn,K040,377,396,386,50.7,Brooklyn,K040,377,396,386,50.7
Gramercy Arts High School,Manhattan,M460,446,459,455,79.6,Manhattan,M460,446,459,455,79.6
Green School: An Academy for Environmental Careers,Brooklyn,K049,384,398,399,41.1,Brooklyn,K049,384,398,399,41.1
Gregorio Luperon High School for Science and Mathematics,Manhattan,M876,383,355,352,71.0,Manhattan,M876,383,355,352,71.0
Grover Cleveland High School,Queens,Q485,452,422,416,38.9,Queens,Q485,452,422,416,38.9
Harry S. Truman High School,Bronx,X455,400,401,391,41.5,Bronx,X455,400,401,391,41.5
Health Opportunities High School,Bronx,X884,374,386,382,57.9,Bronx,X884,374,386,382,57.9
Henry Street School for International Studies,Manhattan,M056,410,406,381,59.7,Manhattan,M056,410,406,381,59.7
Herbert H. Lehman High School,Bronx,X405,426,419,407,28.9,Bronx,X405,426,419,407,28.9
Heritage School,Manhattan,M107,385,380,370,56.8,Manhattan,M107,385,380,370,56.8
High School for Arts and Business,Queens,Q456,413,405,393,76.7,Queens,Q456,413,405,393,76.7
"High School for Arts, Imagination, and Inquiry",Manhattan,M490,375,389,380,58.8,Manhattan,M490,375,389,380,58.8
High School for Civil Rights,Brooklyn,K435,391,373,376,26.4,Brooklyn,K435,391,373,376,26.4
High School for Community Leadership,Queens,Q470,415,392,386,72.3,Queens,Q470,415,392,386,72.3
"High School for Construction Trades, Engineering, and Architecture",Queens,Q650,489,457,451,78.9,Queens,Q650,489,457,451,78.9
High School for Contemporary Arts,Bronx,X425,367,381,361,41.0,Bronx,X425,367,381,361,41.0
High School for Dual Language and Asian Studies,Manhattan,M445,613,453,463,95.9,Manhattan,M445,613,453,463,95.9
"High School for Enterprise, Business, and Technology",Brooklyn,K450,463,446,425,54.5,Brooklyn,K450,463,446,425,54.5
High School for Environmental Studies,Manhattan,M834,469,454,444,74.0,Manhattan,M834,469,454,444,74.0
High School for Global Citizenship,Brooklyn,K440,377,386,375,61.9,Brooklyn,K440,377,386,375,61.9
High School for Health Careers and Sciences,Manhattan,M465,374,385,389,56.2,Manhattan,M465,374,385,389,56.2
High School for Health Professions and Human Services,Manhattan,M475,452,445,430,86.9,Manhattan,M475,452,445,430,86.9
High School for Innovation in Advertising and Media,Brooklyn,K500,390,410,397,59.1,Brooklyn,K500,390,410,397,59.1
High School for Language and Diplomacy,Manhattan,M460,446,433,411,70.2,Manhattan,M460,446,433,411,70.2
High School for Law Enforcement and Public Safety,Queens,Q690,410,431,409,56.6,Queens,Q690,410,431,409,56.6
High School for Law and Public Service,Manhattan,M465,401,394,381,44.1,Manhattan,M465,401,394,381,44.1
"High School for Law, Advocacy, and Community Justice",Manhattan,M490,415,417,402,60.5,Manhattan,M490,415,417,402,60.5
"High School for Mathematics, Science, and Engineering at City College",Manhattan,M812,683,610,596,92.6,Manhattan,M812,683,610,596,92.6
High School for Media and Communications,Manhattan,M465,378,381,383,33.0,Manhattan,M465,378,381,383,33.0
High School for Medical Professions,Brooklyn,K500,404,427,424,60.2,Brooklyn,K500,404,427,424,60.2
